HS_CODE_6,한국품목명_2012,한국수출금액_2012,한국수출금액_2013,한국수출금액_2014,한국수출금액_2015,한국수출금액_2016,한국수출증감률_2012,한국수출증감률_2013,한국수출증감률_2014,한국수출증감률_2015,한국수출증감률_2016,한국수입금액_2012,한국수입금액_2013,한국수입금액_2014,한국수입금액_2015,한국수입금액_2016,한국수입증감률_2012,한국수입증감률_2013,한국수입증감률_2014,한국수입증감률_2015,한국수입증감률_2016,한국수지_2012,한국수지_2013,한국수지_2014,한국수지_2015,한국수지_2016,중국품목명_2012,중국수출금액_2012,중국수출금액_2013,중국수출금액_2014,중국수출금액_2015,중국수출금액_2016,중국수출증감률_2012,중국수출증감률_2013,중국수출증감률_2014,중국수출증감률_2015,중국수출증감률_2016,중국수입금액_2012,중국수입금액_2013,중국수입금액_2014,중국수입금액_2015,중국수입금액_2016,중국수입증감률_2012,중국수입증감률_2013,중국수입증감률_2014,중국수입증감률_2015,중국수입증감률_2016,중국수지_2012,중국수지_2013,중국수지_2014,중국수지_2015,중국수지_2016,일본품목명_2012,일본수출금액_2012,일본수출금액_2013,일본수출금액_2014,일본수출금액_2015,일본수출금액_2016,일본수출증감률_2012,일본수출증감률_2013,일본수출증감률_2014,일본수출증감률_2015,일본수출증감률_2016,일본수입금액_2012,일본수입금액_2013,일본수입금액_2014,일본수입금액_2015,일본수입금액_2016,일본수입증감률_2012,일본수입증감률_2013,일본수입증감률_2014,일본수입증감률_2015,일본수입증감률_2016,일본수지_2012,일본수지_2013,일본수지_2014,일본수지_2015,일본수지_2016
410621,산양의 것-습윤상태의 것(웨트블루를 포함한다),276,212,0,0,0,484,-23.4,-100,0,0,928,262,0,4,68,20.3,-71.8,-99.9,1049.6,1595,-652,-51,0,-5,-68,In the wet state including wetblue,9467,5079,4866,5624,3473,-23.1,-46.4,-4.2,15.6,-38.3,23591,30106,35289,20974,17264,-45,27.6,17.2,-40.6,-17.7,-14124,-25027,-30423,-15350,-13791,,,,4866,5624,,,,-4.2,15.6,,,,35289,20974,,,,17.2,-40.6,,,,-30423,-15350,
293020,티오카르바메이트와디티오카르바메이트,255,82,581,268,335,-78.5,-67.6,603.9,-53.9,25.3,8713,10693,10825,7823,7028,13.1,22.7,1.2,-27.7,-10.2,-8458,-10611,-10244,-7556,-6693,"Thiocarbamates, dithiocarbamates",97338,96954,149812,149727,146856,-12.3,-0.4,54.5,-0.1,-1.9,1544,1787,2434,2439,2301,-32.2,15.7,36.2,0.2,-5.7,95794,95167,147378,147288,144555,Thiocarbamates and dithiocarbamates,4448181,4941951,149812,149727,5264456,6.3,11.1,54.5,-0.1,1.6,419997,553706,2434,2439,1224387,-48.9,31.8,36.2,0.2,-18.2,4028184,4388245,147378,147288,4040069
284590,기타,241,320,473,520,13050,-26.3,32.9,48,9.8,2411.7,11435,13831,13290,12080,27339,102.5,21,-3.9,-9.1,126.3,-11194,-13512,-12817,-11561,-14289,"Other isotopes, inorganic or organic compounds of isotopes",5090,4650,5069,4732,9848,-30.2,-8.6,9,-6.6,108.1,10582,18917,19335,20304,26248,34.8,78.8,2.2,5,29.3,-5492,-14267,-14266,-15572,-16400,"Stable (nonradioactive) isotopes  compounds, inorganic or organic, of such isotopes, whether or not chemically defined, nesoi",69995,137015,5069,4732,207361,131.8,95.7,9,-6.6,-8.4,2068260,2260229,19335,20304,2625821,25.8,9.3,2.2,5,-5.4,-1998265,-2123214,-14266,-15572,-2418460
251910,천연탄산마그네슘 (마그네사이트 ),238,470,83,35,10,26361.5,97.7,-82.4,-57.6,-70.9,89,792,228,810,51,-18,791.4,-71.2,255.9,-93.7,149,-322,-145,-776,-41,Natural magnesium carbonate  magnesite,11,104,247,87,55,-89.6,819.9,137.4,-64.7,-37.1,365,516,425,267,530,-47.9,41.2,-17.6,-37.1,98.3,-354,-412,-178,-180,-475,Natural magnesium carbonate (magnesite),1414,1749,247,87,3046,-32.3,23.7,137.4,-64.7,0,31360,40070,425,267,40239,81.2,27.8,-17.6,-37.1,15.5,-29946,-38321,-178,-180,-37193
640351,발목을덮는것,236,253,1187,1668,857,-30.2,7,370.1,40.5,-48.6,7543,12206,12854,10135,9256,16,61.8,5.3,-21.2,-8.7,-7307,-11954,-11667,-8468,-8399,"Footwear with outer soles &uppers of leather, covering the ankle",9092,15750,33031,32493,56095,-4.4,73.2,109.7,-1.6,72.6,20998,33798,38536,30328,22245,23.8,61,14,-21.3,-26.7,-11906,-18048,-5505,2165,33850,"Footwear, with outer soles and uppers of leather nesoi, covering the ankle",18597,17856,33031,32493,76296,-62,-4,109.7,-1.6,56.6,4003071,5012078,38536,30328,2968037,-1.5,25.2,14,-21.3,-15.7,-3984474,-4994222,-5505,2165,-2891741
60110,인경(鱗莖)ㆍ괴경(塊莖)ㆍ괴근(塊根)ㆍ구경(球莖)ㆍ근경(根莖)으로서휴면(休眠)상태인것,100,15,14,0,4,0,-85.4,-3.5,-97.8,1143.8,9115,8131,8058,6776,6405,-13.3,-10.8,-0.9,-15.9,-5.5,-9015,-8117,-8044,-6776,-6401,"Bulbs, tubers, tuberous roots, corms, rhizomes dormant",1492,2595,2092,2235,2549,5.9,73.9,-19.4,6.8,14.1,71391,80645,82846,91325,100296,3.8,13,2.7,10.2,9.8,-69899,-78050,-80754,-89090,-97747,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",78347,93455,2092,2235,41499,-1.1,19.3,-19.4,6.8,-26.3,6456571,7453288,82846,91325,6281787,-6.4,15.4,2.7,10.2,-14.5,-6378224,-7359833,-80754,-89090,-6240288
620822,인조섬유로만든것,99,39,61,107,58,-36.6,-60.5,56.3,76.7,-45.8,1192,5112,10947,10076,9780,-23.1,328.7,114.1,-8,-2.9,-1093,-5073,-10886,-9969,-9722,"Womens or girls nightdresses, pyjamas, of man-made fibres",136653,154186,175351,203545,193608,0.6,12.8,13.7,16.1,-4.9,485,744,1131,1683,2694,-2.7,53.3,51.9,48.8,60.1,136168,153442,174220,201862,190914,"Womens or girls nightdresses and pajamas of manmade fibers, not knitted or crocheted",724,1078,175351,203545,5393,236.7,48.9,13.7,16.1,878.8,1214090,1261707,1131,1683,1587223,8.8,3.9,51.9,48.8,18.2,-1213366,-1260629,174220,201862,-1581830
852110,마그네틱테이프형,92,150,451,37,88,-97.4,61.8,201.5,-91.8,136,4604,2550,1223,328,65,-57.1,-44.6,-52,-73.2,-80.1,-4512,-2401,-772,-291,23,"Video recording or reproducing apparatus, magnetic tape-type",5122,4421,2622,2254,1667,-24.1,-13.7,-40.7,-14,-26,24717,14221,6793,3899,1376,-14.1,-42.5,-52.2,-42.6,-64.7,-19595,-9800,-4171,-1645,291,"Video recording or reproducing apparatus, magnetic tape-type",5783054,3324095,2622,2254,308814,-34.3,-42.5,-40.7,-14,-81.4,129352,208788,6793,3899,68047,-45.4,61.4,-52.2,-42.6,-32.6,5653702,3115307,-4171,-1645,240767
732611,분쇄기용의  그라인딩볼  및  이와  유사한  철강제  단조물,92,343,63,94,116,-58,273.7,-81.5,48.7,23.4,3259,3182,3229,2815,3247,16,-2.3,1.5,-12.8,15.3,-3167,-2840,-3166,-2721,-3131,Erinding balls & similar forged or stamped articles for mills,318188,377119,495769,489413,502603,17.4,18.5,31.5,-1.3,2.7,2840,1134,1261,1605,821,-29.2,-60.1,11.2,27.3,-48.9,315348,375985,494508,487808,501782,"Grinding balls and similar articles for mills, forged or stamped, but not further worked, of iron or steel",64315,65850,495769,489413,158152,-59.5,2.4,31.5,-1.3,53.1,992708,1032537,1261,1605,831322,-1.1,4,11.2,27.3,-18.4,-928393,-966687,494508,487808,-673170
450410,"블록 .판 .쉬이트 .스트립 ,타일  및  시린다 (응집코르크의것 )",79,18,89,129,78,119.7,-77.3,391.3,46.1,-39.8,1677,1968,1792,2639,3449,15.2,17.4,-9,47.3,30.7,-1598,-1951,-1703,-2511,-3371,"Blocks.plates.sheets & strip,tiles & cylinders of agglomerated cork",6511,7538,8210,6950,11170,-14.6,15.8,8.9,-15.4,60.7,23822,19662,21117,23711,23620,-9.1,-17.5,7.4,12.3,-0.4,-17311,-12124,-12907,-16761,-12450,"Blocks, plates, sheets and strip, tiles of any shape, solid cylinders, including disks, of agglomerated cork",131537,138930,8210,6950,127638,20.5,5.6,8.9,-15.4,-2.9,955190,1053092,21117,23711,1141112,0.8,10.2,7.4,12.3,2.6,-823653,-914162,-12907,-16761,-1013474
251820,백운석 (하소한것 ),75,777,671,849,177,0,937.6,-13.7,26.6,-79.1,7,159,329,688,669,-29.7,2111.3,107.1,109.4,-2.8,68,618,342,160,-492,Dolomite  calcined,9303,10975,26570,14091,12863,-9.1,18,142.1,-47,-8.7,168,402,1224,1434,743,-40.1,139.4,204.6,17.2,-48.2,9135,10573,25346,12657,12120,Calcined dolomite,848,1851,26570,14091,11429,0,118.3,142.1,-47,56,1103571,1358144,1224,1434,1314385,-18.1,23.1,204.6,17.2,-36.5,-1102723,-1356293,25346,12657,-1302956
283525,오르토인산수소칼슘 (인산이칼슘 ),72,235,211,127,161,146.6,226.8,-10.3,-40,27.4,18804,17660,11698,11772,10124,11,-6.1,-33.8,0.6,-14,-18732,-17425,-11487,-11646,-9963,Calcium hydrogenorthophosphate dicalcium phosphate,179622,142758,117952,119743,140943,5.9,-20.5,-17.4,1.5,17.7,1425,1213,1185,1693,1424,151.5,-14.9,-2.3,42.9,-15.9,178197,141545,116767,118050,139519,Calcium hydrogenorthophosphate (dicalcium phosphate),207764,261213,117952,119743,525118,127.9,25.7,-17.4,1.5,-11.1,1602398,1376651,1185,1693,1264593,9.6,-14.1,-2.3,42.9,-12.1,-1394634,-1115438,116767,118050,-739475
293729,기타,72,164,209,198,1379,-37.3,127.5,27.3,-5.4,598.3,6637,6598,6478,6904,7647,-0.7,-0.6,-1.8,6.6,10.8,-6565,-6434,-6269,-6707,-6268,Other,108516,146792,145830,238015,194436,44.9,35.3,-0.7,63.2,-18.3,4342,5649,17439,19628,14001,567.1,30.1,208.7,12.6,-28.7,104174,141143,128391,218387,180435,"Adrenal cortical hormones and their derivatives, nesoi",120489,52631,145830,238015,65096,-11.3,-56.3,-0.7,63.2,-20.1,1670397,2077918,17439,19628,1311468,-18.5,24.4,208.7,12.6,-36,-1549908,-2025287,128391,218387,-1246372
441300,고밀도화목재 (블록상 .플레이트상 .스트립상 .프로파일형상의것 ),47,83,385,182,46,-84.5,76,362.3,-52.7,-74.9,11238,9138,12591,11920,9381,29.6,-18.7,37.8,-5.3,-21.3,-11191,-9055,-12206,-11738,-9335,Densified wood  in blocks.plates.strips or profile shapes,6185,4951,5618,9106,5674,-18,-19.9,13.5,62.1,-37.7,3350,2786,2711,2366,4061,-5.3,-16.8,-2.7,-12.7,71.6,2835,2165,2907,6740,1613,"Densified wood, in blocks, plates, strips or profile shapes",39571,22101,5618,9106,10525,19.2,-44.1,13.5,62.1,-82.7,101093,98622,2711,2366,125396,4.5,-2.4,-2.7,-12.7,25.4,-61522,-76521,2907,6740,-114871
550110,폴리아미드장섬유  토우,42,217,6,34,3,-80.1,410.8,-97.3,486.5,-92.2,1344,1133,957,1199,1886,18.9,-15.7,-15.5,25.2,57.4,-1302,-917,-951,-1165,-1883,Filament tow of polyamides,11019,11854,11848,13136,16041,-27.9,7.6,0,10.9,22.1,4887,4358,4285,3324,3073,-8.1,-10.8,-1.7,-22.4,-7.6,6132,7496,7563,9812,12968,Synthetic filament tow of nylon or other polyamides,20652,8577,11848,13136,37670,-65.1,-58.5,0,10.9,45,1504208,2660559,4285,3324,2855469,-41,76.9,-1.7,-22.4,-13,-1483556,-2651982,7563,9812,-2817799
40630,가공치이즈 (분상치이즈제외 ),41,187,351,582,1108,-77.6,360.3,87.6,66.1,90.4,32180,38807,46341,41410,40920,5,20.6,19.4,-10.6,-1.2,-32139,-38621,-45990,-40828,-39812,Processed cheese not grated or powdered,1803,501,674,875,707,132.2,-72.2,34.5,29.8,-19.3,35154,44863,68805,65139,71054,20,27.6,53.4,-5.3,9.1,-33351,-44362,-68131,-64264,-70347,"Cheese, processed, not grated or powdered",219841,366118,674,875,593981,3.4,66.5,34.5,29.8,9.1,4555681,4521358,68805,65139,3606327,-2.9,-0.8,53.4,-5.3,8.4,-4335840,-4155240,-68131,-64264,-3012346
540823,상이한  색사직물 (재생 .반합성장섬유 85%이상 ),232,409,589,368,382,171.9,76.5,44.2,-37.5,3.7,42,55,40,105,247,-17.3,32.3,-28.5,165.2,135.2,190,353,549,262,135,Fabrics of yarns of differentcolors artificial filament 85% or more,1827,2991,3659,8037,10368,-0.4,63.7,22.3,119.7,29,6553,7124,6683,5439,4587,22.4,8.7,-6.2,-18.6,-15.7,-4726,-4133,-3024,2598,5781,"Woven fabrics of artificial filaments (not of viscose rayon from high tenacity yarn), 85% or more (wt) artificial filament, of different colored yarns",840410,821717,3659,8037,669602,-5.5,-2.2,22.3,119.7,-17.7,26751,43546,6683,5439,45493,26.3,62.8,-6.2,-18.6,-26.4,813659,778171,-3024,2598,624109
291100,아세탈ㆍ헤미아세탈(그밖의산소관능결합을한것인지에상관없다)과이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,219,436,179,4,834,-60.1,99.3,-59,-97.8,20966.2,522,365,1098,660,1908,-32.1,-30,200.7,-39.9,189.1,-303,71,-919,-657,-1074,Acetals.hemiacetals.sulphonated.nitrated or nitrosated derivatives,6981,8979,45102,21126,11319,12.5,28.6,402.3,-53.2,-46.4,5451,4889,5313,5745,3229,-32.6,-10.3,8.7,8.1,-43.8,1530,4090,39789,15381,8090,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated or nitrosated derivatives",331388,409112,45102,21126,219239,4.2,23.5,402.3,-53.2,-63.4,209670,275356,5313,5745,527624,15.9,31.3,8.7,8.1,31.7,121718,133756,39789,15381,-308385
550520,재생 .반합성섬유의  웨이스트,217,10,51,0,0,-60.2,-95.3,398.7,-100,0,242,31,7,0,0,-40.9,-87,-77.9,-100,0,-25,-22,44,0,0,Waste of artificial fibres,2400,88,42,30,140,-44.3,-96.4,-52,-27.9,361.9,54,136,0,29,324,-92.3,151.3,-100,0,1013.2,2346,-48,42,1,-184,"Waste (including noils, yarn waste and garnetted stock), of artificial fibers",17883,15937,42,30,23754,-43.3,-10.9,-52,-27.9,-16.6,2894,2580,0,29,2366,-33.4,-10.9,-100,0,132,14989,13357,42,1,21388
611249,기타  방직용섬유제의  여자용 .소녀용  수영복 (편직 .크로세 ),201,101,405,397,183,533.9,-49.7,299.3,-1.9,-53.9,117,148,167,280,208,-59,26.4,12.9,67.1,-25.7,84,-47,238,117,-25,"Womens swimwear, of other textile materials, knitted or crocheted",9232,17848,6626,6189,6752,34.8,93.3,-62.9,-6.6,9.1,14,68,36,48,55,-50.7,382.2,-47.7,34.2,14.1,9218,17780,6590,6141,6697,"Womens or girls swimwear of textile materials nesoi, knitted or crocheted",304,0,6626,6189,2151,-55.2,-100,-62.9,-6.6,153.1,11110,22241,36,48,17475,-49.7,100.2,-47.7,34.2,17,-10806,-22241,6590,6141,-15324
732112,액체연료용의  조리용기구와  가열판 (철강제의  것 ),186,282,159,232,137,13.9,51.7,-43.5,45.7,-41.1,459,217,122,151,76,629.5,-52.7,-43.9,24.2,-50,-273,64,37,80,61,"Cooking appliances & plate warmers, for liquid fuel, of iron or steel",77250,72946,84801,86205,51941,-4.5,-5.6,16.3,1.7,-39.7,82,108,85,72,49,59.8,31.1,-21,-15.6,-31.3,77168,72838,84716,86133,51892,"Cooking appliances and plate warmers for liquid fuel, of iron or steel",23043,15047,84801,86205,7421,-56,-34.7,16.3,1.7,-51.3,53260,50902,85,72,56961,-23,-4.4,-21,-15.6,-20.1,-30217,-35855,84716,86133,-49540
611231,합성섬유제의  남자용  소년용  수영복 (편직 .크로세 ),166,210,188,93,89,8.4,26.5,-10.5,-50.4,-3.9,3148,3953,4477,4586,9687,12.9,25.6,13.2,2.4,111.3,-2982,-3744,-4289,-4493,-9598,"Mens or boys swimwear, of synthetic fibres, knitted or crocheted",81749,99257,128319,115074,118237,-9.4,21.4,29.3,-10.3,2.7,1436,870,2351,1430,910,138.7,-39.4,170.1,-39.1,-36.4,80313,98387,125968,113644,117327,"Mens or boys swimwear of synthetic fibers, knitted or crocheted",38901,29374,128319,115074,66651,22.3,-24.5,29.3,-10.3,44.5,1344145,1564851,2351,1430,1676108,12.1,16.4,170.1,-39.1,-1,-1305244,-1535477,125968,113644,-1609457
611019,기타,165,370,528,240,244,-70.4,123.6,42.8,-54.5,1.5,12573,9607,5816,5051,4325,-20.5,-23.6,-39.5,-13.1,-14.4,-12408,-9238,-5288,-4812,-4081,Other,116912,89178,114657,119575,105266,7.1,-23.7,28.6,4.3,-12,10600,15279,14061,15809,9102,6.8,44.1,-8,12.4,-42.4,106312,73899,100596,103766,96164,"Jerseys, pullovers, cardigans, waist-coats and similar articles, knitted or crocheted, of wool or fine animal hair of kashmir (cashmere) goats, n.e.s.",21992,24706,114657,119575,30319,-19.3,12.3,28.6,4.3,1.7,2766906,3930898,14061,15809,2347105,33.8,42.1,-8,12.4,-22.3,-2744914,-3906192,100596,103766,-2316786
481200,제지용  펄프제의  필터블록 .필터슬랩 .필터플레이트,164,171,389,401,593,-24.6,3.9,127.9,3.3,47.9,341,814,2007,1727,2642,-14.9,138.6,146.5,-14,53,-177,-644,-1618,-1326,-2049,"Filter blocks, slabs & plates of paper pulp",8661,12105,5496,2735,2850,180.8,39.8,-54.6,-50.2,4.2,20163,21220,18328,15464,16977,-5,5.2,-13.6,-15.6,9.8,-11502,-9115,-12832,-12729,-14127,"Filter blocks, slabs and plates, of paper pulp",86107,59928,5496,2735,51309,50.1,-30.4,-54.6,-50.2,31.1,24354,23659,18328,15464,90264,35.6,-2.9,-13.6,-15.6,-21.6,61753,36269,-12832,-12729,-38955
360410,불꽃제품,149,0,9,0,5,149.4,-100,0,-100,0,4367,4940,3863,4577,3958,24.5,13.1,-21.8,18.5,-13.5,-4218,-4941,-3854,-4577,-3953,Fireworks,725751,772190,850786,846760,732047,10.5,6.4,10.2,-0.5,-13.5,0,6,0,55,6422,-100,0,-100,0,11498.6,725751,772184,850786,846705,725625,Fireworks,43726,68309,850786,846760,99333,-30.6,56.2,10.2,-0.5,19.2,2435706,2856939,0,55,2546220,10.8,17.3,-100,0,-15.9,-2391980,-2788630,850786,846705,-2446887
852719,기타  라디오방송  수신용기기 (외부전원없이  작동할  수있는  것 ),146,220,139,99,205,-36.1,50.7,-36.6,-29.1,107.2,1846,2101,1231,1415,954,58.3,13.8,-41.4,14.9,-32.6,-1700,-1882,-1092,-1316,-749,"Other radio-broadcast receivers, operating without an external source",571014,457787,326661,348407,274102,31.6,-19.8,-28.6,6.7,-21.3,4193,3497,2971,2130,1490,22.1,-16.6,-15,-28.3,-30.1,566821,454290,323690,346277,272612,"OTHER RADIO-BROADCAST RECEIVERS, OPERATING WITHOUT AN EXTERNAL SOURCE",358967,204628,326661,348407,173076,5,-43,-28.6,6.7,-15.8,6461849,5086497,2971,2130,4795773,-15.9,-21.3,-15,-28.3,3.9,-6102882,-4881869,323690,346277,-4622697
282731,마그네슘  염화물,137,340,142,165,160,34.7,148,-58.3,16.5,-3.1,7226,6936,7282,7860,8179,22.9,-4,5,7.9,4.1,-7089,-6596,-7140,-7695,-8019,Chlorides of magnesium,16497,17546,19385,17662,16846,8.9,6.4,10.5,-8.9,-4.6,947,1244,1122,1149,738,-31.7,31.4,-9.8,2.5,-35.8,15550,16302,18263,16513,16108,Magnesium chloride,354216,428156,19385,17662,451340,15.1,20.9,10.5,-8.9,-12.8,720585,793272,1122,1149,999632,0.7,10.1,-9.8,2.5,-20,-366369,-365116,18263,16513,-548292
270300,"토탄(토탄찌꺼기를포함하며,응결시킨것인지에상관없다)",131,114,191,63,254,-40.9,-12.8,67.7,-67,303.8,14872,16629,17781,16468,14333,-6,11.8,6.9,-7.4,-13,-14741,-16516,-17590,-16405,-14079,Peat including peat litter,32,97,140,86,336,783.5,202.3,44,-38.6,290.7,14321,16702,22544,27585,33024,-6.5,16.6,35,22.4,19.7,-14289,-16605,-22404,-27499,-32688,Peat (including peat litter) whether or not agglomerated,1840,1563,140,86,462,0,-15.1,44,-38.6,0,3218452,3794875,22544,27585,3652724,-7.7,17.9,35,22.4,-9.4,-3216612,-3793312,-22404,-27499,-3652262
293621,비타민 A와  그  유도체,128,48,473,251,212,63.4,-62.8,892.5,-46.9,-15.8,3876,3865,3771,3582,3764,-19.5,-0.3,-2.4,-5,5.1,-3748,-3818,-3298,-3331,-3552,Vitamins a & their derivatives,66571,71184,88402,76134,91731,-7.7,6.9,24.2,-13.9,20.5,21677,17987,27337,18636,39641,-32,-17,52,-31.8,112.7,44894,53197,61065,57498,52090,"Vitamins a and their derivatives, unmixed",222472,280635,88402,76134,35495,34.5,26.1,24.2,-13.9,-48.3,261794,300819,27337,18636,397445,-6.5,14.9,52,-31.8,36.9,-39322,-20184,61065,57498,-361950
530890,기타,124,20,46,74,83,-10.6,-84.2,133.8,61.9,12.2,6542,7657,8460,7105,7083,20.4,17,10.5,-16,-0.3,-6418,-7638,-8414,-7032,-7000,Yarn of other vegetable textile fibres,71428,34486,34888,34869,24756,-31.9,-51.7,1.2,-0.1,-29,11779,9111,9113,7031,5254,26.3,-22.7,0,-22.9,-25.3,59649,25375,25775,27838,19502,"Yarn of vegetable textile fibers, nesoi",474386,466485,34888,34869,534360,7.9,-1.7,1.2,-0.1,-3.2,545321,707793,9113,7031,792402,-8.9,29.8,0,-22.9,-30,-70935,-241308,25775,27838,-258042
721912,두께가4.75밀리미터이상10밀리미터이하인것,223414,180770,247514,182632,157071,53.7,-19.1,36.9,-26.2,-14,249421,279401,312911,239384,179102,-13.8,12,12,-23.5,-25.2,-26007,-98631,-65397,-56753,-22031,"Flat-rolled products, in coils, hot-rolled, thickness 4.75-10mm",628062,755225,1066691,716491,680535,-23.8,20.2,41.2,-32.8,-5,136743,131080,151156,111745,86815,-22.8,-4.1,15.3,-26.1,-22.3,491319,624145,915535,604746,593720,"Flat-rolled stainless steel in coils, 600 mm or more wide, hot-rolled, 4.75 mm but not over 10 mm thick",7882432,6702651,1066691,716491,5594403,-28.7,-15,41.2,-32.8,-19.4,1232611,1555435,151156,111745,805272,-44.9,26.2,15.3,-26.1,2.6,6649821,5147216,915535,604746,4789131
845011,완전자동세탁기 (1회  세탁능력이  건조한  섬유제품중량으로 10KG이하 ),208082,185634,160319,129013,122794,-25,-10.8,-13.6,-19.5,-4.8,26764,26039,32602,32689,33448,228.7,-2.7,25.2,0.3,2.3,181318,159594,127717,96324,89346,"Fully-automatic washing machines, dry linen capacity not exceeding 10kg",2571459,2348843,2481918,2099589,2061006,16.4,-8.7,5.7,-15.4,-1.8,18693,17068,38840,40193,45393,-38.4,-8.7,127.6,3.5,12.9,2552766,2331775,2443078,2059396,2015613,"Household- or laundry-type washing machines, fully automatic, with a dry linen capacity not exceeding 10 kg",223759,268208,2481918,2099589,613642,-72.8,19.9,5.7,-15.4,-6.2,75092172,85845041,38840,40193,79562986,9.1,14.3,127.6,3.5,-11.2,-74868413,-85576833,2443078,2059396,-78949344
845891,수치제어식의  기타  금속절삭가공용  선반,177398,117099,114922,100767,59560,54.7,-34,-1.9,-12.3,-40.9,24809,25554,29977,39750,32474,-36.2,3,17.3,32.6,-18.3,152589,91544,84945,61017,27086,"Other lathes for removing metal, numerically controlled",27041,20747,43483,55465,55887,-1.5,-23.3,109.6,27.6,0.8,320049,286641,242498,230386,193828,6,-10.4,-15.4,-5,-15.9,-293008,-265894,-199015,-174921,-137941,"Lathes, excluding horizontal, for removing metal, numerically controlled",26265742,20868409,43483,55465,17688422,9.1,-20.5,109.6,27.6,-23,1131805,1107918,242498,230386,715863,-24.4,-2.1,-15.4,-5,-71.1,25133937,19760491,-199015,-174921,16972559
841191,터보제트나터보프로펠러의것,165142,178745,186332,173884,150613,46.6,8.2,4.2,-6.7,-13.4,240734,300308,347627,372076,424474,-18.1,24.7,15.8,7,14.1,-75592,-121563,-161295,-198193,-273861,Parts of turbo-jets or turbo-propellers,1028581,1248461,1566679,1562297,1777936,19.3,21.4,25.5,-0.3,13.8,1468081,1725290,1919818,2057853,2196662,17.1,17.5,11.3,7.2,6.7,-439500,-476829,-353139,-495556,-418726,Parts of turbojets or turbopropellers,189879896,246605720,1566679,1562297,330999062,20.6,29.9,25.5,-0.3,1.3,174844494,241046231,1919818,2057853,353222899,5.5,37.9,11.3,7.2,10.7,15035402,5559489,-353139,-495556,-22223837
731520,스키드체인 (철강제의  것 ),112,56,103,790,34,66.3,-50.3,84.1,669.1,-95.7,1046,1239,1302,549,833,-24.2,18.4,5.1,-57.8,51.7,-934,-1183,-1199,240,-799,Skid chain of iron or steel,93048,56276,61129,57938,56329,13.8,-39.5,8.6,-5.2,-2.8,168,227,416,859,410,-61.6,34.7,83.4,106.4,-52.3,92880,56049,60713,57079,55919,Skid chain of iron or steel,21730,3941,61129,57938,3008,288.9,-81.9,8.6,-5.2,67.9,1110290,1645922,416,859,630850,36.8,48.2,83.4,106.4,-60.4,-1088560,-1641981,60713,57079,-627842
283230,티오황산염,3,59,6,8,52,-85.4,1764,-90.3,45.9,514.1,1682,2061,2385,2449,2323,34.2,22.6,15.7,2.7,-5.1,-1679,-2002,-2379,-2441,-2271,Thiosulphates,11767,13423,12819,10584,11634,43.7,14.1,-4.5,-17.4,9.9,279,218,229,163,173,8.7,-21.8,4.9,-28.7,5.9,11488,13205,12590,10421,11461,Thiosulfates,27133,14608,12819,10584,17456,1.5,-46.2,-4.5,-17.4,76,99275,126587,229,163,139108,4.8,27.5,4.9,-28.7,-2.7,-72142,-111979,12590,10421,-121652
850740,니켈철  축전지,2,256,457,19,251,-93.2,15747.3,78.4,-95.8,1221.9,100,747,331,191,737,-11.9,649.3,-55.7,-42.2,285.3,-98,-491,126,-173,-486,Nickel-iron accumulators,2646,6834,100710,105667,114757,280.6,158.2,1373.7,4.9,8.6,39,0,5,0,0,2109.4,-99.3,1726.1,-100,0,2607,6834,100705,105667,114757,Nickel-iron storage batteries,2605,4839,100710,105667,468,49.4,85.8,1373.7,4.9,-66.3,760,10290,5,0,1325,-94.7,1253.9,1726.1,-100,72.3,1845,-5451,100705,105667,-857
910199,"기타 (회중시계  및  기타휴대시계 ),케이스가  귀금속제  또는  도금한것",1,155,224,191,184,-98.9,26217.8,44.7,-14.8,-3.9,2316,3641,3635,1787,1161,-39.7,57.2,-0.2,-50.8,-35.1,-2315,-3486,-3411,-1597,-977,"Other pocket-watches & other watches , with case of precious metal",101,116,81,23374,19897,-45.2,14.9,-30.1,28716.5,-14.9,256,562,294,1073,5274,-53.9,119.6,-47.7,265.1,391.4,-155,-446,-213,22301,14623,"Pocket watches and other watches, except wrist watches, with cases of precious metal (or of metal clad with precious metal), not battery powered",1691,7239,81,23374,8661,189.6,328.1,-30.1,28716.5,89.6,95981,76792,294,1073,251177,8.2,-20,-47.7,265.1,52.9,-94290,-69553,-213,22301,-242516
282749,기타,1,1,25,2,49,-86.2,31.6,2336.6,-90.5,1976.8,4715,4141,4533,5439,5656,-18.8,-12.2,9.5,20,4,-4714,-4140,-4508,-5437,-5607,Other chloride oxides & chloride hydroxides,110086,73546,74240,64299,59058,-43.1,-33.2,0.9,-13.4,-8.1,1986,1412,2176,2005,1956,27.9,-28.9,54.1,-7.8,-2.4,108100,72134,72064,62294,57102,"Chloride oxides and chloride hydroxides, nesoi",517414,506414,74240,64299,459441,25.9,-2.1,0.9,-13.4,-16.6,3089382,3291768,2176,2005,3640384,-57.9,6.6,54.1,-7.8,-17.3,-2571968,-2785354,72064,62294,-3180943
